assessment_id,id_no,sci_name,presence,origin,seasonal,compiler,year,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1972,-100.40278,19.38639
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1964,-100.21167,20.0
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1985,-100.28528,19.77306
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río Ameca, , , ,Domínguez-Domínguez, ,2017,-103.8427,20.6758
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1978,-99.70194,20.03611
125922850,125922809,Cubanichthys pengelleyi,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,"", ,"",Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.x678dn,PRESERVED_SPECIMEN,1949,-77.832698,18.104075
1998108,191692,Alloophorus robustus,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río Grande de Morelia, , , ,Diaz, ,1978,-100.9308,19.8824
1818029,186764,Psalidodon leonidas,1,1,1,Jorge Liotta,2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"Azpelicueta et al., 2002a",PreservedSpecimen,2002,-53.71,-26.166667
188000698,188000682,Hoplomyzon cardosoi,1,1,1,Douglas Rodríguez Olarte,2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"GBIF (2020), Fish Collection ANSP (2020), INPA Fish Collection (2020), USP Fish Collection (2020), PUCRS Fish Collection (2020), UEM Fish Collection (2020), Smithsonian Institution Fish Collection (2020), UNICAMP Fish Collection (2020), UFMS Fish Collect",,,-72.6,9.3833
176425391,176425386,Bryconamericus sylvicola,1,1,1,Jorge Liotta,2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"Fuchs, 2014",PreservedSpecimen,1986,-54.4,-25.883333
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1973,-98.0,20.21611
176425391,176425386,Bryconamericus sylvicola,1,1,1,Jorge Liotta,2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"López et al., 2005",HumanObservation,2005,-54.95,-26.933333
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1978,-99.69944,20.03472
188000698,188000682,Hoplomyzon cardosoi,1,1,1,Douglas Rodríguez Olarte,2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"GBIF (2020), Fish Collection ANSP (2020), INPA Fish Collection (2020), USP Fish Collection (2020), PUCRS Fish Collection (2020), UEM Fish Collection (2020), Smithsonian Institution Fish Collection (2020), UNICAMP Fish Collection (2020), UFMS Fish Collect",,,-71.75,8.8333
176425391,176425386,Bryconamericus sylvicola,1,1,1,Jorge Liotta,2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"Fuchs, 2014",PreservedSpecimen,1986,-53.766667,-26.25
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1980,-99.69861,20.03278
1971329,191154,Chirostoma humboldtianum,4,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Possibly Extinct, , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1954,-99.09528,19.28194
1998108,191692,Alloophorus robustus,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río Grande de Morelia, , , ,Univ. Michoacana, ,1980,-101.2685,19.6158
500918,1117,Ameca splendens,4,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Possibly Extinct, ,Río Ameca, , , ,Peters & McIntosh, ,1949,-103.927,20.5626
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1963,-99.14417,19.73861
47097611,191694,Allotoca catarinae,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Domínguez-Domínguez, ,2010,-102.018,19.415
176425391,176425386,Bryconamericus sylvicola,1,1,1,Jorge Liotta,2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"Fuchs, 2014",PreservedSpecimen,1997,-54.983333,-27.116667
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Laguna Magdalena, , , ,Köck et al., ,2016,-104.0793,20.9014
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1973,-100.02,19.46944
176559269,176559262,Odontesthes hatcheri,4,1,1,"Cussac, V.",2020,IUCN (International Union for Conservation of Nature),Possibly Extinct,,,,,,,,,-71.55,-39.78333333
176559269,176559262,Odontesthes hatcheri,4,1,1,"Cussac, V.",2020,IUCN (International Union for Conservation of Nature),Possibly Extinct,,,,,,,,,-71.43333333,-39.55
176559269,176559262,Odontesthes hatcheri,4,1,1,"Cussac, V.",2020,IUCN (International Union for Conservation of Nature),Possibly Extinct,,,,,,,,,-71.51666667,-39.83333333
176559269,176559262,Odontesthes hatcheri,4,1,1,"Cussac, V.",2020,IUCN (International Union for Conservation of Nature),Possibly Extinct,,,,,,Conte-Grand et al. 2015,,,-67.5,-38.25
176559269,176559262,Odontesthes hatcheri,4,1,1,"Cussac, V.",2020,IUCN (International Union for Conservation of Nature),Possibly Extinct,,,,,,Conte-Grand et al. 2015,,,-65.83333333,-38.08333333
188000698,188000682,Hoplomyzon cardosoi,1,1,1,Douglas Rodríguez Olarte,2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"GBIF (2020), Fish Collection ANSP (2020), INPA Fish Collection (2020), USP Fish Collection (2020), PUCRS Fish Collection (2020), UEM Fish Collection (2020), Smithsonian Institution Fish Collection (2020), UNICAMP Fish Collection (2020), UFMS Fish Collect",,,-72.6,9.4
176425391,176425386,Bryconamericus sylvicola,1,1,1,Jorge Liotta,2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"Braga, 1998a",PreservedSpecimen,1983,-54.216667,-25.938333
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1958,-101.61917,19.54556
176559269,176559262,Odontesthes hatcheri,1,1,1,"Cussac, V.",2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,Conte-Grand et al. 2015,,,-70.1,-40.4
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río Ameca, , , ,Soltz et al., ,1977,-103.844,20.6814
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1994,-100.21836,19.99444
1818029,186764,Psalidodon leonidas,1,1,1,Jorge Liotta,2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"Casciotta et al., 2016b",PreservedSpecimen,2016,-54.50825,-25.679972
1971329,191154,Chirostoma humboldtianum,4,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Possibly Extinct, , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1951,-98.95722,19.40917
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1995,-99.78833,19.81806
47097611,191694,Allotoca catarinae,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Webb & Lyons, ,1997,-102.0819,19.3289
1998108,191692,Alloophorus robustus,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Cotija, , , ,Univ. Michoacana, ,1984,-101.6916,19.5853
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,2000,-99.71028,19.64139
176549381,1866,Aplochiton marinus,1,1,1,"Cussac, V.",2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,Cussac et al. 2004,,,-73.18333333,-39.76666667
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1985,-101.27025,19.61747
177559407,177559403,Gymnogeophagus jaryi,1,1,1,"Alonso, F.A.",2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,,-54.856111,-26.939445
177559407,177559403,Gymnogeophagus jaryi,1,1,1,"Alonso, F.A.",2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,,-55.003611,-27.045833
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1968,-104.73083,21.19833
47097611,191694,Allotoca catarinae,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Domínguez-Domínguez, ,2014,-102.0141,19.3888
176559269,176559262,Odontesthes hatcheri,4,1,1,"Cussac, V.",2020,IUCN (International Union for Conservation of Nature),Possibly Extinct,,,,,,Conte-Grand et al. 2015,,,-66.48333333,-43.7
1971329,191154,Chirostoma humboldtianum,4,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Possibly Extinct, , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1948,-99.08194,19.27917
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1994,-99.79028,19.82806
47097611,191694,Allotoca catarinae,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,University Michigan, ,1969,-102.0834,19.3428
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río Ameca, , , ,Köck et al., ,2016,-103.8417,20.6897
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1957,-101.61917,19.54556
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1955,-101.4475,19.19083
176559269,176559262,Odontesthes hatcheri,1,1,1,"Cussac, V.",2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,Conte-Grand et al. 2015,,,-69.41666667,-41.2
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1985,-100.21836,19.99444
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1997,-99.71028,19.64139
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1959,-101.61917,19.54556
1818029,186764,Psalidodon leonidas,1,1,1,Jorge Liotta,2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"Azpelicueta et al., 2002a",HumanObservation,2002,-54.083333,-25.766667
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1993,-99.78,19.815
176559269,176559262,Odontesthes hatcheri,1,1,1,"Cussac, V.",2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,Conte-Grand et al. 2015,,,-68.8,-43.85
176559269,176559262,Odontesthes hatcheri,4,1,1,"Cussac, V.",2020,IUCN (International Union for Conservation of Nature),Possibly Extinct,,,,,,,,,-71.18333333,-39.23333333
176559269,176559262,Odontesthes hatcheri,4,1,1,"Cussac, V.",2020,IUCN (International Union for Conservation of Nature),Possibly Extinct,,,,,,,,,-71.41666667,-39.86666667
125922850,125922809,Cubanichthys pengelleyi,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident), , ,"", ,"",Global Biodiversity Information Facility 2020 https://doi.org/10.15468/dl.x678dn,PRESERVED_SPECIMEN,1982,-77.860756,18.083509
176425391,176425386,Bryconamericus sylvicola,1,1,1,Jorge Liotta,2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"Fuchs, 2014",PreservedSpecimen,1983,-54.4,-25.883333
176667971,176667967,Paracetopsis atahualpa,1,1,1,"Lyons, T.J.",2020,New Mexico BioPark Society,Extant (resident),,,,,,Vari et al. 2005,PreservedSpecimen,2018,-80.49875,-3.80513
3000383,4531,Characodon lateralis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Köck et al., ,2015,-104.2744,23.9389
500918,1117,Ameca splendens,4,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Possibly Extinct, ,Laguna de Sayula, , , ,Domínguez-Domínguez, ,2005,-103.5148,19.955
1818029,186764,Psalidodon leonidas,1,1,1,Jorge Liotta,2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"Casciotta et al., 2016b",HumanObservation,2016,-54.480694,-25.729083
177559407,177559403,Gymnogeophagus jaryi,1,1,1,"Alonso, F.A.",2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,,-55.373221,-27.120712
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1966,-99.51417,19.15306
